Name,OrderNumber,Disabled,ParagonSeason,VisibleOnlyInMatchingSeason,DungeonSet,DifficultyTrack,MonsterDifficulty,SceneType,TimeInSeconds,DungeonNeedToKillAllMonsters,DefendFriendliesTID,XpLevelReg,ParagonLevelReg,EstimatedXpLevelReg,PvpXpLevelCap,GearScore,TID,Music,AmbientSound,SceneJSON,DefaultEnvironmentalEffect,IconAsset,WorldType,PlayerCount,RespawnSeconds,DungeonDrop,DungeonDropMultiplier,AmbushType,SummonEliteChanceNormal,SummonEliteChanceStrong,SummonEliteChanceBoss,AverageBotXPLevelNormal,AverageBotGearLevelNormal,BotPowerGemLevelForOfflineDungeon,AverageBotXPLevelHard,AverageBotGearLevelHard,AverageBotXPLevelVeryHard,AverageBotGearLevelVeryHard,BotBoost,SummonCanBeElite,BluePrintPointsFromNormal,BluePrintPointsFromStrong,BluePrintPointsFromBoss,BluePrintPointsForFirstDrop,BluePrintPointsForSecondDrop,BluePrintPointsForThirdDrop,BluePrintPointsForFourthDrop,DungeonAndQuestAndPvpCompletedLootProfile,BossHealthBoostPercent,PvpEnemy1,PvpEnemy1Points,PvpEnemy2,PvpEnemy2Points,PvpEnemy3,PvpEnemy3Points,PvpEnemy4,PvpEnemy4Points,PvpEnemy5,PvpEnemy5Points,PvpEnemy6,PvpEnemy6Points,PvpEnemy7,PvpEnemy7Points,PvpEnemy8,PvpEnemy8Points,SkinDrop,RandomEventLevel,RandomEvent1,RandomEvent1Chance,RandomEvent2,RandomEvent2Chance,RandomEvent3,RandomEvent3Chance,RandomEvent4,RandomEvent4Chance,RandomEvent5,RandomEvent5Chance,RandomEvent6,RandomEvent6Chance,SmallEnemyDamageAndHealingIncreasePercent,SmallEnemyHealthIncreasePercent,SmallEnemyLootIncreasePercent,LargeEnemyDamageAndHealingIncreasePercent,LargeEnemyHealthIncreasePercent,LargeEnemyLootIncreasePercent,BossEnemyDamageAndHealingIncreasePercent,BossEnemyHealthIncreasePercent,BossEnemyLootIncreasePercent,FriendlyDamageAndHealingIncreasePercent,FriendlyHealthIncreasePercent,Modifier1,Modifier1Number,Modifier2,Modifier2Number,AreaEffect,AreaEffectChancePermilleEveryTenthOfASecond,AreaEffectRandomDistanceFromPlayer,AreaEffectMinimumDistanceFromPlayer,AreaEffectDamagesEnemies,AreaEffectActiveTimeMs,AreaEffectDownTimeMs,AreaEffectMinimumDistanceToEachOther
CH1_DEFENSE_ARENA_01_1,3,TRUE,1,,4,,,Arena,300,,TID_ARENA_DEFENSE_HINT,,,24,,3200,TID_CH1_DEFENSE_ARENA_01_1,ArenaDungeon01B,EarthCityRooftopNight,scene/w00_park_arena.json,,sc/ui.sc#mapbg_w01_dg03,Dragonling,4,15,,,,,,,245,245,,,,,,3,,100,500,10000,,,,,,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,,25,25,,25,25,,,25,,,,,,,,,,,,
CH1_MONSTER_HUNT_02_1,4,TRUE,1,,4,,,Dungeon,300,,,,,25,,3400,TID_CH1_MONSTER_HUNT_02_1,DungeonDark,CanyonTop,scene/w01_ch01_monster_hunt_01.json,,sc/ui.sc#mapbg_w01_dg03,Dragonling,4,15,,,,,,,250,250,,,,,,3,,100,500,10000,,,,,,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,,25,25,,25,25,,,25,,,,,,,,,,,,
CH1_MONSTER_HUNT_01_1,5,TRUE,1,,4,,,Dungeon,300,,,,,26,,3500,TID_CH1_MONSTER_HUNT_01_1,DungeonDark,SpookyForest,scene/w02_ch01_monster_hunt_02.json,,sc/ui.sc#mapbg_w01_dg03,Beetle,4,15,,,1,,,,260,260,,,,,,3,,100,500,10000,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,,25,25,,25,25,,,25,,,,,,,,,,,,
CH1_DEFENSE_ARENA_01_2,6,TRUE,1,,4,,,Arena,300,,TID_ARENA_DEFENSE_HINT,,,27,,3700,TID_CH1_DEFENSE_ARENA_01_2,ArenaDungeon01B,EarthCityRooftopNight,scene/w00_park_arena.json,,sc/ui.sc#mapbg_w01_dg03,Dragonling,4,15,,,,,,,265,265,,,,,,3,,100,500,10000,,,,,,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,,50,50,,50,50,,,50,,,,,,,,,,,,
CH1_MONSTER_HUNT_02_2,7,TRUE,1,,4,,,Dungeon,300,,,,,27,,3700,TID_CH1_MONSTER_HUNT_02_2,DungeonDark,CanyonTop,scene/w01_ch01_monster_hunt_01.json,,sc/ui.sc#mapbg_w01_dg03,Dragonling,4,15,,,,,,,270,270,,,,,,3,,100,500,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,,50,50,,50,50,,,50,,,,,,,,,,,,
CH1_MONSTER_HUNT_01_2,8,TRUE,1,,4,,,Dungeon,300,,,,,28,,3900,TID_CH1_MONSTER_HUNT_01_2,DungeonDark,SpookyForest,scene/w02_ch01_monster_hunt_02.json,,sc/ui.sc#mapbg_w01_dg03,Beetle,4,15,,,1,,,,280,280,,,,,,3,,100,500,10000,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,,50,50,,50,50,,,50,,,,,,,,,,,,
W00_SOLO_DG01,,,1,,5,,,Dungeon,120,TRUE,,23,,21,,2628,TID_W00_SOLO_DG01,SoloDungeon01A,Warehouse,scene/ch1_solo_dg01.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,300,300,,,,,,,,100,500,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,
W00_SOLO_DG02,1,,1,,5,,,Dungeon,120,TRUE,,,,23,,2898,TID_W00_SOLO_DG02,SoloDungeon01A,Warehouse,scene/ch1_solo_dg02.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,300,300,,,,,,,,100,500,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,100,,,,,,,,,,,,,,,,,,
W00_SOLO_DG03,2,,1,,5,,,Dungeon,120,TRUE,,,,25,,3195,TID_W00_SOLO_DG03,SoloDungeon01A,Warehouse,scene/ch1_solo_dg03.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,300,300,,,,,,,,100,500,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,300,300,,,,,,,,,,,,
W00_SOLO_DG04,3,,1,,7,,,Dungeon,120,TRUE,,30,,28,,3708,TID_W00_SOLO_DG04,SoloDungeon01A,Warehouse,scene/ch1_solo_dg04.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,300,300,,,,,,,,100,500,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,3000,200,,,,,,,,,,,,
W00_SOLO_DG05,4,,1,,7,,,Dungeon,120,TRUE,,,,30,,4095,TID_W00_SOLO_DG05,SoloDungeon01A,Warehouse,scene/ch1_solo_dg05.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,300,300,,,,,,,,100,500,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,-35,,,,,,,,,,,,,,,,,,
W00_SOLO_DG06,5,,1,,7,,,Dungeon,120,TRUE,,,,32,,4518,TID_W00_SOLO_DG06,SoloDungeon02,Warehouse,scene/ch1_solo_dg06.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,300,300,,,,,,,,100,500,10000,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W00_SOLO_DG01_1,6,,1,TRUE,9,,,Dungeon,120,TRUE,,,10,37,,6200,TID_W00_SOLO_DG01_1,SoloDungeon01A,Warehouse,scene/w00_solo_dg01.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,300,300,,,,,,,,100,500,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,350,,,,,,,,,,,,,,,,,,
W00_SOLO_DG02_1,7,,1,TRUE,9,,,Dungeon,120,TRUE,,,,38,,6600,TID_W00_SOLO_DG02_1,SoloDungeon01A,Warehouse,scene/w00_solo_dg02.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,300,300,,,,,,,,100,500,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,525,,25,100,,,,,,,,,,,,,,,,,,
W00_SOLO_DG03_1,8,,1,TRUE,9,,,Dungeon,120,TRUE,,,,40,,7200,TID_W00_SOLO_DG03_1,SoloDungeon01A,Warehouse,scene/w00_solo_dg03.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,300,300,,,,,,,,100,500,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,400,,750,750,,,,,,,,,,,,
W00_SOLO_DG04_1,9,,1,TRUE,9,,,Dungeon,120,TRUE,,,,41,,7600,TID_W00_SOLO_DG04_1,SoloDungeon01A,Warehouse,scene/w00_solo_dg04.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,300,300,,,,,,,,100,500,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,100,,50,1000,,,,,8000,300,,,,,,,,,,,,
W00_SOLO_DG05_1,10,,1,TRUE,9,,,Dungeon,120,TRUE,,,,42,,7900,TID_W00_SOLO_DG05_1,SoloDungeon01A,Warehouse,scene/w00_solo_dg05.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,300,300,,,,,,,,100,500,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,50,,,,,,,,,,,,,,,,,,
W00_SOLO_DG06_1,11,,1,TRUE,9,,,Dungeon,120,TRUE,,,,43,,8300,TID_W00_SOLO_DG06_1,SoloDungeon02,Warehouse,scene/w00_solo_dg06.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,300,300,,,,,,,,100,500,10000,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,75,,,,,,,,,,,,,,,
W00_SOLO_DG01_2,12,,1,TRUE,9,,,Dungeon,120,TRUE,,,,44,,8700,TID_W00_SOLO_DG01_2,SoloDungeon01A,Warehouse,scene/w00_solo_dg01.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,300,300,,,,,,,,100,500,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,650,,,,,,,,,,,,,,,,,,
W00_SOLO_DG02_2,13,,1,TRUE,9,,,Dungeon,120,TRUE,,,,46,,9600,TID_W00_SOLO_DG02_2,SoloDungeon01A,Warehouse,scene/w00_solo_dg02.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,300,300,,,,,,,,100,500,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,975,,50,200,,,,,,,,,,,,,,,,,,
W00_SOLO_DG03_2,14,,1,TRUE,9,,,Dungeon,120,TRUE,,,,47,,10100,TID_W00_SOLO_DG03_2,SoloDungeon01A,Warehouse,scene/w00_solo_dg03.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,300,300,,,,,,,,100,500,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,800,,1500,1000,,,,,,,,,,,,
W00_SOLO_DG04_2,15,,1,TRUE,9,,,Dungeon,120,TRUE,,,,48,,10700,TID_W00_SOLO_DG04_2,SoloDungeon01A,Warehouse,scene/w00_solo_dg04.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,300,300,,,,,,,,100,500,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,200,,100,2000,,,,,16000,450,,,,,,,,,,,,
W00_SOLO_DG05_2,16,,1,TRUE,9,,,Dungeon,120,TRUE,,,,49,,11200,TID_W00_SOLO_DG05_2,SoloDungeon01A,Warehouse,scene/w00_solo_dg05.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,300,300,,,,,,,,100,500,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,175,,,,,,,,,,,,,,,,,,
W00_SOLO_DG06_2,17,,1,TRUE,9,,,Dungeon,120,TRUE,,,,50,,11700,TID_W00_SOLO_DG06_2,SoloDungeon02,Warehouse,scene/w00_solo_dg06.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,300,300,,,,,,,,100,500,10000,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,200,,,,,,,,,,,,,,,
W01_DG06,,,1,,3,,,Dungeon,300,,,17,,15,,1962,TID_W01_DG06,DungeonDragonlingShrineCanyon,OvergrownRuins,scene/ch1_dg_deep_gorge.json,,sc/ui.sc#mapbg_w01_dg06,Dragonling,4,15,,,,,,,150,150,,,,,,3,,100,500,10000,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W01_DG05,1,,1,,3,,,Dungeon,300,,,,,17,,2160,TID_DRAGONLING_DUNGEON2,DungeonLight,AmbDungeon01,scene/ch1_dg_cave_of_corruption.json,,sc/ui.sc#mapbg_w01_dg04,Dragonling,4,15,,,,,,,170,170,,,,,,3,,100,500,10000,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W01_DG03,3,,1,,6,,,Dungeon,300,,,26,,24,,3042,TID_MAP_P01_RAID,DungeonLight,OvergrownRuins,scene/ch1_dg_canyon_gauntlet.json,,sc/ui.sc#mapbg_w01_dg05,Dragonling,4,15,,,1,,,,240,240,,,,,,3,,100,500,10000,,,,,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W01_DG04,2,,1,,3,,,Dungeon,300,,,,,19,,2385,TID_RAID1,DungeonBreedingGrounds,OvergrownRuins,scene/ch1_dg_breeding_grounds.json,,sc/ui.sc#mapbg_w01_dg10,Dragonling,4,15,,,,,,,190,190,,,,,,3,,100,500,10000,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W02_ARENA,4,,1,,6,,,Arena,300,,,,,26,,3357,TID_BEETLE_ARENA,ArenaDungeon01B,EarthCityRooftopNight,scene/ch1_dg_rooftop_rumble.json,,sc/ui.sc#mapbg_w00_arena03,Beetle,4,15,,,1,,,,260,260,,,,,,3,,100,500,10000,,,,,,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W02_DG08,6,,1,,8,,,Dungeon,300,,,30,,28,,3708,TID_W02_DG08,DungeonDark,SpookyForestRamparts,scene/ch1_dg_ramparts.json,,sc/ui.sc#mapbg_w02_dg08,Beetle,4,15,,,1,,,,280,280,,,,,,3,,100,500,10000,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W02_DG03,7,,1,,8,,,Dungeon,300,,,,,30,,4095,TID_W02_DG03,DungeonDark,SpookyForest,scene/ch1_dg_moonlit_ruins.json,,sc/ui.sc#mapbg_w02_dg03,Beetle,4,15,,,1,,,,300,300,,,,,,3,,100,500,10000,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W02_DG04,5,,1,,6,,,Dungeon,300,,,,,28,,3708,TID_BEETLE_RAID3,DungeonDark,AmbDungeon01,scene/ch1_dg_sewer_showdown.json,,sc/ui.sc#mapbg_w02_dg04,Beetle,4,15,,,,,,,280,280,,,,,,3,,100,500,10000,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W02_DG09,8,,1,,8,,,Dungeon,300,,,,,32,,4518,TID_W02_DG09,DungeonDark,SpookyLands,scene/ch1_dg_tournament_grounds.json,,sc/ui.sc#mapbg_w02_dg09,Beetle,4,15,,,1,,,,320,320,,,,,,3,,100,500,10000,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W01_DG06_1,9,,1,TRUE,10,,,Dungeon,300,,,,10,37,,6000,TID_W01_DG06_1,DungeonLight,OvergrownRuins,scene/w01_dg06.json,,sc/ui.sc#mapbg_w01_dg06,Dragonling,4,15,,,,,,,375,375,,,,,,3,,100,500,10000,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,60,,80,60,,80,60,,,,,,,,,,,,,,,
W01_DG05_1,10,,1,TRUE,10,,,Dungeon,300,,,,,38,,6400,TID_DRAGONLING_DUNGEON2_1,DungeonLight,AmbDungeon01,scene/w01d2_windslayershrine_block.json,,sc/ui.sc#mapbg_w01_dg04,Dragonling,4,15,,,,,,,380,380,,,,,,3,,100,500,10000,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,60,,80,60,,80,60,,,,,,,,,,,,,,,
W01_DG03_1,11,,1,TRUE,10,,,Dungeon,300,,,,,38,,6400,TID_MAP_P01_RAID_1,DungeonLight,OvergrownRuins,scene/w01_dg03.json,,sc/ui.sc#mapbg_w01_dg05,Dragonling,4,15,,,1,,,,385,385,,,,,,3,,100,500,10000,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,60,,80,60,,80,60,,,,,,,,,,,,,,,
W01_DG04_1,12,,1,TRUE,10,,,Dungeon,300,,,,,39,,6700,TID_RAID1_1,DungeonBreedingGrounds,OvergrownRuins,scene/chamber_arena.json,,sc/ui.sc#mapbg_w01_dg10,Dragonling,4,15,,,,,,,390,390,,,,,,3,,100,500,10000,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,60,,80,60,,80,60,,,,,,,,,,,,,,,
W02_ARENA_1,13,,1,TRUE,10,,,Arena,300,,,,,40,,7000,TID_BEETLE_ARENA_1,ArenaDungeon01B,EarthCityRooftopNight,scene/w00_city_arena01.json,,sc/ui.sc#mapbg_w00_arena03,Beetle,4,15,,,1,,,,400,400,,,,,,3,,100,500,10000,,,,,,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,40,,80,40,,80,40,,,,,,,,,,,,,,,
W02_DG08_1,14,,1,TRUE,10,,,Dungeon,300,,,,,41,,7400,TID_W02_DG08_1,DungeonDark,SpookyForestRamparts,scene/w02_dg08.json,,sc/ui.sc#mapbg_w02_dg08,Beetle,4,15,,,1,,,,410,410,,,,,,3,,100,500,10000,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,60,,80,60,,80,60,,,,,,,,,,,,,,,
W02_DG03_1,15,,1,TRUE,10,,,Dungeon,300,,,,,41,,7400,TID_W02_DG03_1,DungeonDark,SpookyForest,scene/w02_hilltop_dg.json,,sc/ui.sc#mapbg_w02_dg03,Beetle,4,15,,,1,,,,415,415,,,,,,3,,100,500,10000,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,60,,80,60,,80,60,,,,,,,,,,,,,,,
W02_DG04_1,16,,1,TRUE,10,,,Dungeon,300,,,,,42,,7700,TID_BEETLE_RAID3_1,DungeonDark,AmbDungeon01,scene/w02r03_sewer_boss.json,,sc/ui.sc#mapbg_w02_dg04,Beetle,4,15,,,,,,,420,420,,,,,,3,,100,500,10000,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,60,,80,60,,80,60,,,,,,,,,,,,,,,
W02_DG09_1,17,,1,TRUE,10,,,Dungeon,300,,,,,43,,8100,TID_W02_DG09_1,DungeonDark,SpookyLands,scene/w02_dg09.json,,sc/ui.sc#mapbg_w02_dg09,Beetle,4,15,,,1,,,,430,430,,,,,,3,,100,500,10000,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,60,,80,60,,80,60,,,,,,,,,,,,,,,
W01_DG06_2,18,,1,TRUE,10,,,Dungeon,300,,,,,44,,8500,TID_W01_DG06_2,DungeonLight,OvergrownRuins,scene/w01_dg06.json,,sc/ui.sc#mapbg_w01_dg06,Dragonling,4,15,,,,,,,435,435,,,,,,3,,100,500,10000,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,150,,150,150,,150,150,,,,,,,,,,,,,,,
W01_DG05_2,19,,1,TRUE,10,,,Dungeon,300,,,,,44,,8500,TID_DRAGONLING_DUNGEON2_2,DungeonLight,AmbDungeon01,scene/w01d2_windslayershrine_block.json,,sc/ui.sc#mapbg_w01_dg04,Dragonling,4,15,,,,,,,440,440,,,,,,3,,100,500,10000,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,150,,150,150,,150,150,,,,,,,,,,,,,,,
W01_DG03_2,20,,1,TRUE,10,,,Dungeon,300,,,,,45,,8900,TID_MAP_P01_RAID_2,DungeonLight,OvergrownRuins,scene/w01_dg03.json,,sc/ui.sc#mapbg_w01_dg05,Dragonling,4,15,,,1,,,,450,450,,,,,,3,,100,500,10000,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,150,,150,150,,150,150,,,,,,,,,,,,,,,
W01_DG04_2,21,,1,TRUE,10,,,Dungeon,300,,,,,46,,9400,TID_RAID1_2,DungeonBreedingGrounds,OvergrownRuins,scene/chamber_arena.json,,sc/ui.sc#mapbg_w01_dg10,Dragonling,4,15,,,,,,,460,460,,,,,,3,,100,500,10000,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,150,,150,150,,150,150,,,,,,,,,,,,,,,
W02_ARENA_2,22,,1,TRUE,10,,,Arena,300,,,,,47,,9900,TID_BEETLE_ARENA_2,ArenaDungeon01B,EarthCityRooftopNight,scene/w00_city_arena01.json,,sc/ui.sc#mapbg_w00_arena03,Beetle,4,15,,,1,,,,465,465,,,,,,3,,100,500,10000,,,,,,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,100,,150,100,,150,100,,,,,,,,,,,,,,,
W02_DG08_2,23,,1,TRUE,10,,,Dungeon,300,,,,,47,,9900,TID_W02_DG08_2,DungeonDark,SpookyForestRamparts,scene/w02_dg08.json,,sc/ui.sc#mapbg_w02_dg08,Beetle,4,15,,,1,,,,470,470,,,,,,3,,100,500,10000,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,150,,150,150,,150,150,,,,,,,,,,,,,,,
W02_DG03_2,24,,1,TRUE,10,,,Dungeon,300,,,,,48,,10400,TID_W02_DG03_2,DungeonDark,SpookyForest,scene/w02_hilltop_dg.json,,sc/ui.sc#mapbg_w02_dg03,Beetle,4,15,,,1,,,,480,480,,,,,,3,,100,500,10000,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,150,,150,150,,150,150,,,,,,,,,,,,,,,
W02_DG04_2,25,,1,TRUE,10,,,Dungeon,300,,,,,49,,10900,TID_BEETLE_RAID3_2,DungeonDark,AmbDungeon01,scene/w02r03_sewer_boss.json,,sc/ui.sc#mapbg_w02_dg04,Beetle,4,15,,,,,,,490,490,,,,,,3,,100,500,10000,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,150,,150,150,,150,150,,,,,,,,,,,,,,,
W02_DG09_2,26,,1,TRUE,10,,,Dungeon,300,,,,,50,,11400,TID_W02_DG09_2,DungeonDark,SpookyLands,scene/w02_dg09.json,,sc/ui.sc#mapbg_w02_dg09,Beetle,4,15,,,1,,,,500,500,,,,,,3,,100,500,10000,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,150,,150,150,,150,150,,,,,,,,,,,,,,,
W01_OA05,1,,2,,,,,OpenWorld,,,,33,,33,,4743,TID_DRAGONLING_OA5,OpenWorldDragonlingDragonCity,DragonlingCity,scene/w01_oa05.json,,sc/ui.sc#mapbg_w01_oa05,Dragonling,28,10,,,,,,,350,350,,,,,,,,30,150,2000,7110,21330,35550,,,,,,,,,,,,,,,,,,,,,33,LootBugEvent,1000,LunaCatEvent,500,FightingNpcEvent2,500,EscortNpcEvent,500,PrisonEvent,1000,InvasionPortalEvent_W01_OA05,300,,,,,,,,,,,,,,,,TornadoOpenWorld,3,2500,1300,TRUE,40000,4000000,
W01_OA06,3,,2,,,,,OpenWorld,,,,40,,40,,6669,TID_W01_OA06,OpenWorldDragonlingGardenCity,OvergrownRuinsGarden,scene/w01_oa06_garden_city.json,,sc/ui.sc#mapbg_w01_oa06,Dragonling,28,10,,,,,,,415,415,,,,,,,,30,150,2000,25026,75078,125130,,,,,,,,,,,,,,,,,,,,,40,PortalBossEvent,300,LunaCatEvent,500,FightingNpcEvent3,500,ProtectHarvesterEvent,500,ProtectNpcEvent,500,InvasionPortalEvent_W01_OA06,300,,,,,,,,,,,,,,,,TornadoOpenWorld,3,2500,1300,TRUE,40000,4000000,
W02_OA04,2,,2,,,,,OpenWorld,,,,37,,37,,5760,TID_MAP_BEETLE_OA4,OpenWorldBeetleRoyalQuartersAmbient,CastleIndoors,scene/w02_oa04.json,,sc/ui.sc#mapbg_w02_oa04,Beetle,28,10,,,1,,,,385,385,,,,,,,,30,150,2000,9000,,,,,,,,,,,,,,,,,,,,,,,37,PortalBossEvent,300,LunaCatEvent,500,FightingNpcEvent2,500,EscortNpcEvent,500,RunningNpcEvent,500,InvasionPortalEvent_W02_OA04,300,,,,,,,,,,,,,,,,LightningOpenWorld,80,600,,TRUE,40000,4000000,200
W02_OA05,4,,2,,,,,OpenWorld,,,,43,,43,,7722,TID_MAP_BEETLE_OA5,OpenWorldBeetleCastle,RoyalQuartersIndoors,scene/w02_oa05.json,,sc/ui.sc#mapbg_w02_oa05,Beetle,28,10,,,1,,,,445,445,,,,,,,,30,150,2000,9000,,,,,,,,,,,,,,,,,,,,,,,43,PortalBossEvent,300,LunaCatEvent,500,FightingNpcEvent3,500,ProtectHarvesterEvent,500,ProtectNpcEvent,500,InvasionPortalEvent_W02_OA05,300,,,,,,,,,,,,,,,,LightningOpenWorld,80,600,,TRUE,40000,4000000,200
W02_DG11,999,TRUE,99,,,,,Dungeon,300,,,50,,50,,11400,TID_W02_DG11,DungeonBeetleRoyalQuarters,CastleIndoors,scene/w02_library_dg.json,,sc/ui.sc#mapbg_w01_oa01,Beetle,4,15,,,1,,,,500,500,,,,,,,,100,500,10000,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W02_DG07,999,TRUE,99,,,,,Dungeon,300,,,,,51,,12000,TID_W02_DG07,DungeonBeetleSewers,SpookyLands,scene/w02_dg07.json,,sc/ui.sc#mapbg_w02_dg07,Beetle,4,15,,,1,,,,510,510,,,,,,,,100,500,10000,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W01_DG07,999,TRUE,99,,,,,Dungeon,300,,,,,52,,12600,TID_W01_DG07,DungeonLight,WindyMountainTop,scene/w01_dg07.json,,sc/ui.sc#mapbg_w01_dg07,Dragonling,4,15,,,,,,,520,520,,,,,,,,100,500,10000,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
