Name,Actions,Type,Label,Category,GameState,ServerState,SpecialState,Platform,KeyCode,CtrlKey,AltKey,EnableContinuousPresses,Disabled,CreatorBuildEnabled
SetEffectAlphaOwnPlayer,SetEffectAlphaOwnPlayer,Tune,VFX alpha own player,Render,,,,,,,,,,
SetEffectAlphaFriendlyPlayer,SetEffectAlphaFriendlyPlayer,Tune,VFX alpha friendly player,Render,,,,,,,,,,
SetEffectAlphaEnemyPlayer,SetEffectAlphaEnemyPlayer,Tune,VFX alpha enemy player,Render,,,,,,,,,,
ToggleHideEffects,ToggleHideEffects,Selectable,Hide effects,Render,,,,,,,,,,
ToggleFPS30,ToggleFPS30,Selectable,30 fps,Render,,,,,,,,,,
ToggleColorWorldLayers,ToggleColorWorldLayers,Selectable,Color world layers,Render,,,,,,,,,,
,,,,,,,,,,,,,,
ReturnFromBattleReload,ReturnFromBattleReload,Default,Reload with current res,Return Home,Home,Offline,,,,,,,,
SetDebugReturnFromBattleXP,SetDebugReturnFromBattleXP,Tune,battle xp,Return Home,Home,Offline,,,,,,,,
SetDebugReturnFromBattleTokens,SetDebugReturnFromBattleTokens,Tune,battle tokens,Return Home,Home,Offline,,,,,,,,
SetDebugReturnFromBattlePCE,SetDebugReturnFromBattlePCE,Tune,battle pce's,Return Home,Home,Offline,,,,,,,,
,,,,,,,,,,,,,,
ToggleLowEndShading,ToggleLowEndShading,Selectable,Low-end shading,Shading,,,,,,,,,,
ToggleGreyAlbedo,ToggleGreyAlbedo,Selectable,Grey albedo,Shading,,,,,,,,,,
ToggleLighting,ToggleLighting,Selectable,Lighting,Shading,,,,,,,,,,
ToggleLightMask,ToggleLightMask,Selectable,Light mask,Shading,,,,,,,,,,
ToggleVizAtmo,ToggleVizAtmo,Selectable,Visualize Atmo,Shading,,,,,,,,,,
ToggleAtmosphere,ToggleAtmosphere,Selectable,Atmosphere,Shading,,,,,,,,,,
ToggleUnderwater,ToggleUnderwater,Selectable,Underwater,Shading,,,,,,,,,,
ToggleZebraLines,ToggleZebraLines,Selectable,Zebra lines,Shading,,,,,,,,,,
ToggleEnvironmentParametersBlending,ToggleEnvironmentParametersBlending,Selectable,Zone blending,Shading,,,,,,,,,,
ToggleEnvironmentParametersBlurring,ToggleEnvironmentParametersBlurring,Selectable,Zone blurring,Shading,,,,,,,,,,
ToggleForceDefaultEnvironmentParameters,ToggleForceDefaultEnvironmentParameters,Selectable,Force default zone,Shading,,,,,,,,,,
ToggleProjectedTexture,ToggleProjectedTexture,Selectable,Projected texture,Shading,,,,,,,,,,
,,,,,,,,,,,,,,
StreamingToggleResidencyVisualization,StreamingToggleResidencyVisualization,Default,Toggle Residency Visualization,Streaming,,,,,,,,,,
StreamingToggleProxyVisualization,StreamingToggleProxyVisualization,Default,Toggle Proxy Visualization,Streaming,,,,,,,,,,
StreamingDelayLoads0ms,StreamingDelayLoads0ms,Default,Delay Loads by 0ms,Streaming,,,,,,,,,,
StreamingDelayLoads500ms,StreamingDelayLoads500ms,Default,Delay Loads by 500ms,Streaming,,,,,,,,,,
StreamingUnloadRecentlyUnused,StreamingUnloadRecentlyUnused,Default,Unload Recently Unused,Streaming,,,,,,,,,,
,,,,,,,,,,,,,,
TestSurvey,TestSurvey,Default,Test Survey,Surveys,Home,,,,,,,,,
SurveyComplete,SurveyComplete,Default,Complete Survey,Surveys,Home,,,,,,,,,
SurveyDismiss,SurveyDismiss,Default,Dismiss Survey,Surveys,Home,,,,,,,,,
,,,,,,,,,,,,,,
Crash,Crash,Default,Crash,Tests,,,,,,,,,,
MemLeak,MemLeak,Default,Leak Memory,Tests,,,,,,,,,,
TriggerMemoryWarning,TriggerMemoryWarning,Default,Trigger memory warning,Tests,,,,,,,,,,
TestContentUpdate,TestContentUpdate,Default,Test Content update,Tests,,,,,,,,,,
,,,,,,,,,,,,,,
ToggleSlowMotion,ToggleSlowMotion,Default,Toggle halfspeed,Time,Home,,,,H,TRUE,,,,
ResetGlobalTime,ResetGlobalTime,Command,Reset fast forward,Time,Home,,,,,,,,,
FFGlobalTime1Min,FFGlobalTime1Min,Command,Fast forward 1 min,Time,Home,,,,F,,,,,
FFGlobalTime10Mins,FFGlobalTime10Mins,Command,Fast forward 10 mins,Time,Home,,,,,,,,,
FFGlobalTime1Hour,FFGlobalTime1Hour,Command,Fast forward 1 hour,Time,Home,,,,,,,,,
FFGlobalTime4Hours,FFGlobalTime4Hours,Command,Fast forward 4 hours,Time,Home,,,,,,,,,
FFGlobalTime1Day,FFGlobalTime1Day,Command,Fast forward 1 day,Time,Home,,,,,,,,,
FastforwardAndLoadMin,FastforwardAndLoadMin,Default,Fast forward and reload 1 min,Time,Home,Offline,,,,,,,,
FastforwardAndLoadHour,FastforwardAndLoadHour,Default,Fast forward and reload 1 hour,Time,Home,Offline,,,,,,,,
FastforwardAndLoadDay,FastforwardAndLoadDay,Default,Fast forward and reload 24 hours,Time,Home,Offline,,,,,,,,
,,,,,,,,,,,,,,
ShowMenuLevelUp,ShowMenuLevelUp,Command,Level UP,UI Dev,Home,,,,,,,,,
ShowMenuParagonLevelUp,ShowMenuParagonLevelUp,Command,Paragon Level UP,UI Dev,Home,,,,,,,,,
ShowItemGet,ShowItemGet,Command,Get Item,UI Dev,Home,,,,,,,,,
ShowItemLevelUp,ShowItemLevelUp,Command,Get Item Level UP,UI Dev,Home,,,,,,,,,
ShowItemGetMultiple,ShowItemGetMultiple,Command,Get Item (Multiple),UI Dev,Home,,,,,,,,,
ShowItemLevelUpMultiple,ShowItemLevelUpMultiple,Command,Get Item Level UP (Multiple),UI Dev,Home,,,,E,,,,,
ShowGearChest,ShowGearChest,Command,Get Gear Chest,UI Dev,Home,,,,,,,,,
ShowItemGetPowerGem,ShowItemGetPowerGem,Command,Get Power Gem,UI Dev,Home,,,,,,,,,
ShowItemLevelUpPowerGem,ShowItemLevelUpPowerGem,Command,Get Power Gem Level UP,UI Dev,Home,,,,,,,,,
,,,,,,,,,,,,,,
FastForwardMinCommon,FastForwardMin,Command,Fast forward 1 min,Common,Battle,Offline,,,3,,,,,
UpgradeGearBattle,UpgradeGearBattle,Command,Upgrade Gear,Common,Battle,Offline,,,U,,,,,
Immortality,Immortality,Command,Immortality,Common,Battle,Offline,,,I,,,,,
BotsFollowYou,BotsFollowYou,Command,Make Bots follow you,Common,Battle,Offline,,,,,,,,
QuickCooldowns,QuickCooldowns,Command,Quick Cooldowns,Common,Battle,Offline,,,C,,,,,
SuperSpeed,SuperSpeed,Command,Super Speed,Common,Battle,Offline,,,Q,,,,,
AutoAttack,AutoAttack,Command,Auto Attack,Common,Battle,Offline,,,N,,,,,
ShowTestAttackVfx,ShowTestAttackVfx,Command,Show test attack VFX,Misc,Battle,Offline,,,P,,,,,
OnlineImmortality,OnlineImmortality,Default,Immortality (online),Common,Battle,Online,,,,,,,,
OnlineQuickCooldowns,OnlineQuickCooldowns,Default,Quick Cooldowns (online),Common,Battle,Online,,,,,,,,
OnlineRemoveBots,OnlineRemoveBots,Default,Remove bots,Common,Battle,,,,,,,,,
WinDungeon,WinDungeon,Command,Win Dungeon,Common,Battle,Offline,,,,,,,,
LoseDungeon,LoseDungeon,Command,Lose Dungeon,Common,Battle,Offline,,,,,,,,
OnlineWinDungeon,OnlineWinDungeon,Default,Win Dungeon (online),Common,Battle,Online,,,,,,,,
OnlineLoseDungeon,OnlineLoseDungeon,Default,Lose Dungeon (online),Common,Battle,Online,,,,,,,,
OnlineEnableEnvEffect,OnlineEnableEnvEffect,Default,Enable Enviro Effect (online),Common,Battle,,,,,,,,,
ToggleSlowMotionBattleCommon,ToggleSlowMotion,Default,Toggle halfspeed,Common,Battle,,,,H,TRUE,,,,
ToggleShowAllChestsOnMap,ToggleShowAllChestsOnMap,Default,Show all chests,Common,Battle,,,,,,,,,
IncrementQuests,IncrementQuests,Default,Progress Jobs,Common,Battle,Offline,,,J,,,TRUE,,
DebugQuestCompletion,DebugQuestCompletion,Default,Debug Quest Completion,Common,Battle,,,,J,TRUE,,,,
ReturnHome,ReturnHome,Default,Return Home,Common,Battle,,,,R,,,,,
ToggleBattleMegaSpeedBattleOffline,BattleMegaSpeed,Default,Battle Mega Speed,Common,Battle,Offline,,,M,TRUE,,,,
PrintActiveTutorialCommon,PrintActiveTutorial,Default,Print Active Tutorial,Common,,,,,,,,,,
,,,,,,,,,,,,,,
DeeplinkScanQRLoading,DeeplinkScanQR,Default,Scan a QR Code,Common,Loading,,,,,,,,,
DeeplinkTestFromClipboardLoading,DeeplinkTestFromClipboard,Default,Test Deeplink from Clipboard,Common,Loading,,,,,,,,,
ResetAccountLoading,ResetAccount,Default,Reset Account,Common,Loading,,,,,,,,,
,,,,,,,,,,,,,,
HapticSuccess,HapticSuccess,Default,Haptic success,Dev,,,,Mobile,,,,,,
HapticError,HapticError,Default,Haptic error,Dev,,,,Mobile,,,,,,
HapticWarning,HapticWarning,Default,Haptic warning,Dev,,,,Mobile,,,,,,
HapticHeavy,HapticHeavy,Default,Haptic heavy,Dev,,,,Mobile,,,,,,
HapticMedium,HapticMedium,Default,Haptic medium,Dev,,,,Mobile,,,,,,
HapticLight,HapticLight,Default,Haptic light,Dev,,,,Mobile,,,,,,
HapticSelection,HapticSelection,Default,Haptic selection,Dev,,,,Mobile,,,,,,
ClearFont,ClearFont,Default,Clear Fonts,Fonts,,,,,,,,,,
,,,,,,,,,,,,,,
UseEnemyWeapon,UseEnemyWeapon,Command,Test Enemy Weapons,Common,Battle,,,,F1,,,,TRUE,
UseEnemySkill1,UseEnemySkill1,Command,Test Enemy Skill 1,Common,Battle,,,,F2,,,,TRUE,
UseEnemySkill2,UseEnemySkill2,Command,Test Enemy Skill 2,Common,Battle,,,,F3,,,,TRUE,
UseEnemySkill3,UseEnemySkill3,Command,Test Enemy Skill 3,Common,Battle,,,,F4,,,,TRUE,
IncreaseCameraY,IncreaseCameraY,Command,Increase Camera Y,Common,Battle,,,,F1,,,,TRUE,
DecreaseCameraY,DecreaseCameraY,Command,Decrease Camera Y,Common,Battle,,,,F2,,,,TRUE,
IncreaseCameraZ,IncreaseCameraZ,Command,Increase Camera Z,Common,Battle,,,,F3,,,,TRUE,
DecreaseCameraZ,DecreaseCameraZ,Command,Decrease Camera Z,Common,Battle,,,,F4,,,,TRUE,
IncreaseCameraTargetYOffset,IncreaseCameraTargetYOffset,Command,Increase Camera Target Y Offset,Common,Battle,,,,F5,,,,TRUE,
DecreaseCameraTargetYOffset,DecreaseCameraTargetYOffset,Command,Decrease Camera Target Y Offset,Common,Battle,,,,F6,,,,TRUE,
IncreaseFov,IncreaseFov,Command,Increase Camera FOV,Common,Battle,,,,F7,,,,TRUE,
DecreaseFov,DecreaseFov,Command,Decrease Camera FOV,Common,Battle,,,,F8,,,,TRUE,
PrintCameraStats,PrintCameraStats,Command,Print Camera Stats,Common,Battle,,,,F9,,,,TRUE,
SwapCamera,SwapCamera,Command,Swap Camera,Common,Battle,,,,F10,,,,TRUE,
,,,,,,,,,,,,,,
ParagonSeasonNumberDecrease,ParagonSeasonNumberDecrease,Default,Decrease debug paragon season,Common,Home,Offline,,Desktop,,,,,,
ParagonSeasonNumberIncrease,ParagonSeasonNumberIncrease,Default,Increase debug paragon season,Common,Home,Offline,,Desktop,,,,,,
