Name,IconAsset,NPCCountPercent,NPCSpawnFrequencySec,MinimumBlockedSeconds,NPC,Pets,PetCount,Level,SummonLevel,Resource,ChestIndex,PatrolChance,TargetZone,TargetZone2,IsAmbush,AmbushOverride,AmbushDistanceTiles,AmbushDelaySeconds,AmbushHeightOverride,EliteChance,MegaEliteChance,SpawnFrequencyOffsetSeconds,SpawnChancePercent,NPCWeight,IgnoreOtherCharactersOnSpawn,IgnoreLootScreen,AggroRequirement,Tag,ForceSpawnOtherZonesDistance,ForceSpawnEnemiesMinCount,ForceSpawnEnemiesMaxCount,MultipleSpawnsChancePermille,MultipleSpawnsMinCount,MultipleSpawnsMaxCount,PatrolPickupRadius,PatrolPickupMinCount,PatrolPickupMaxCount
W01_DG5_DragonlingBossMediumHard,sc/editor.sc#zone_21,100,,300,DragonlingBossSpirit,,,30,,,,,,D,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
W01_DG5_DragonlingWeak,sc/editor.sc#zone_21,25,,300,DragonlingStrongJumperV2,,,32,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
W01_DG5_VaultAmbush,sc/editor.sc#zone_21,25,5,15,DragonlingStrongJumperV2,,,32,,,,,,,TRUE,,25,20,20,,,,100,1,,,W01_DG5_DragonlingBossMediumHard,,,,,,,,4,10,10
W01_OA5_Weak,sc/editor.sc#zone_4,15,10,30,DragonlingStrongWhelp,,,28,,,,250,,,,,,,,20,,,100,1,,,,,,,,,,,4,4,6
W01_OA5_Strong,sc/editor.sc#zone_4,25,10,30,DragonlingStrongJumperV2,,,28,,,,250,,,,,,,,20,,,100,4,,,,,,,,,,,4,4,6
,,,,,DragonlingStrongChargerV2,,,28,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,DragonlingStrongHealer,,,28,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
W01_OA5_Boss,sc/editor.sc#zone_4,25,30,60,DragonlingBossHardOpen,,,28,,,,500,,,,,,,,50,5,,100,6,,,,,,,,,,,4,4,6
,,,,,DragonlingDungeonBoss2Open,,,30,,,,,,,,,,,,50,5,,,3,,,,,,,,,,,,,
,,,,,DragonlingDungeonBoss3Open,,,32,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
W01_OA5_Retreat,sc/editor.sc#zone_0,25,10,30,DragonlingFriendlySoldier,,,28,,,,1000,,,,,5,,,,,,100,1,,,,,,,,500,2,2,4,10,10
W01_OA5_StatueEvent,sc/editor.sc#zone_0,100,10,90,DragonlingStrongStatue,,,28,,,,,,,,,5,,,20,,,100,1,,,,,,,,,,,4,10,10
W01_OA5_Ambush,sc/editor.sc#zone_21,1000,5,60,DragonlingStrongJumperV2,,,28,,,,,,,TRUE,,7,,,20,,,25,1,TRUE,,,,,,,,,,,,
W01_OA5_Ambush_Door,sc/editor.sc#zone_21,1000,5,60,DragonlingStrongWhelp,,,28,,,,,G,,TRUE,3,8,,,20,,,50,10,TRUE,,,,,,,,,,4,10,10
,,,,,DragonlingStrongJumperV2,,,28,,,,,,,,,,,,20,,,,5,,,,,,,,,,,,,
,,,,,DragonlingStrongChargerV2,,,28,,,,,,,,,,,,20,,,,2,,,,,,,,,,,,,
,,,,,DragonlingStrongHealer,,,28,,,,,,,,,,,,20,,,,2,,,,,,,,,,,,,
,,,,,DragonlingBossHardOpen,,,28,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
W01_OA6_Strong,sc/editor.sc#zone_4,15,10,30,DragonlingStrongChargerV2,,,35,,,,250,,,,,,,,20,,,100,6,,,,,,,,,,,4,4,6
,,,,,DragonlingStrongHealer,,,35,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,DragonlingStrongSniper,,,35,,,,,,,,,,,,20,,,,3,,,,,,,,,,,,,
W01_OA6_Boss,sc/editor.sc#zone_4,25,30,60,DragonlingBossHardOpen,,,35,,,,500,,,,,,,,50,5,,100,6,,,,,,,,,,,4,4,6
,,,,,DragonlingDungeonBoss2Open,,,37,,,,,,,,,,,,50,5,,,3,,,,,,,,,,,,,
,,,,,DragonlingBossPlantOpen,,,39,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
W01_OA6_Event,sc/editor.sc#zone_0,25,10,90,ShootingPlantElite,,,35,,,,,,,,,5,,,20,,,100,1,,,,,2,2,4,,,,4,10,10
W01_OA6_Event_Guards,sc/editor.sc#zone_1,,999,999,ShootingPlantMinionElite,,,35,,,,,,,,,5,,,,,,,1,,,,,,,,,,,4,10,10
W01_OA6_Event2,sc/editor.sc#zone_0,25,10,90,DragonlingEscort_W01_OA06,,,35,,,,,,,,,5,,,,,,100,1,,,,,2,4,4,,,,4,10,10
W01_OA6_Event2_Guards,sc/editor.sc#zone_19,,999,999,ShootingPlantMinionElite,,,35,,,,,,,,,5,,,,,,,6,,,,,,,,,,,4,10,10
W01_OA6_Event3,sc/editor.sc#zone_21,50,5,15,RunningNpc_W01_OA06,,,35,,,,,,,,,,,,,,,100,1,,,,,2,2,3,,,,,,
W01_OA6_Event3_Guards,sc/editor.sc#zone_0,,999,999,ShootingPlantMinionElite,,,35,,,,,,,,,5,,,,,,100,1,TRUE,,,,,,,,,,,,
W01_OA6_Ambush,sc/editor.sc#zone_21,1000,5,60,DragonlingStrongChargerV2,,,35,,,,,,,TRUE,,7,,,20,,,15,6,TRUE,,,,,,,,,,,,
,,,,,DragonlingStrongHealer,,,35,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,DragonlingStrongSniper,,,35,,,,,,,,,,,,20,,,,3,,,,,,,,,,,,,
W01_OA6_Ambush_Door,sc/editor.sc#zone_21,1000,5,180,DragonlingStrongChargerV2,,,35,,,,,G,,TRUE,3,8,,,20,,,25,6,TRUE,,,,,,,,,,4,10,10
,,,,,DragonlingStrongHealer,,,35,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,DragonlingStrongSniper,,,35,,,,,,,,,,,,20,,,,3,,,,,,,,,,,,,
W02_OA5_Weak,sc/editor.sc#zone_5,75,5,30,BeetleWeakMelee,,,38,,,,350,,,,,5,,,,,,100,2,,,,,,,,1000,2,4,4,10,10
,,,,,BeetleWeakRanged,,,38,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
W02_OA5_Strong,sc/editor.sc#zone_8,75,10,30,BeetleStrongTunneler,,,38,,,,250,,,,,5,,,20,,,100,2,,,,,,,,,,,4,10,10
,,,,,BeetleStrongBuffer,,,38,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,BeetleStrongMeleeV2,,,38,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
W02_OA5_Event,sc/editor.sc#zone_5,100,10,90,BeetleStrongStatue,,,38,,,,,,,,,5,,,20,,,100,1,,,,,,,,,,,4,10,10
W02_OA5_Event2,sc/editor.sc#zone_5,25,10,90,GrubWagon,,,38,,,,1000,A,,,,5,,,50,5,,100,1,,,,,,,,,,,4,10,10
W02_OA5_Ambush,sc/editor.sc#zone_21,1000,5,30,BeetleWeakMelee,,,38,,,,,,,TRUE,,5,,,,,,25,5,TRUE,,,,,,,1000,2,3,4,10,10
,,,,,BeetleWeakRanged,,,38,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
,,,,,BeetleStrongTunneler,,,38,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,BeetleStrongMeleeV2,,,38,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
W02_OA5_Ambush_Door,sc/editor.sc#zone_21,1000,5,60,BeetleWeakMelee,,,38,,,,,G,,TRUE,3,8,,,,,,50,5,TRUE,,,,,,,1000,4,6,4,10,10
,,,,,BeetleWeakRanged,,,38,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
,,,,,BeetleStrongBuffer,,,38,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,BeetleStrongMeleeV2,,,38,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
W02_OA5_Boss,sc/editor.sc#zone_2,25,30,60,BeetleBossRiderPhase2Open,,,38,,,,500,,,,,5,,,50,5,,100,6,,,,,,,,,,,4,10,10
,,,,,BeetleBossRiderPhase3Open,,,40,,,,,,,,,,,,50,5,,,3,,,,,,,,,,,,,
,,,,,BeetleBossHardOpen,,,42,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
W01_RD2_DragonlingRaidBoss2,sc/editor.sc#zone_21,100,,300,DragonlingRaidBoss2,,,16,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
W02_RD2_BeetleRaidBoss2,sc/editor.sc#zone_21,100,,300,BeetleBossQueenPhase2,,,65,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
W02_DG2_BeetleWeakMelee,sc/editor.sc#zone_15,100,,300,BeetleWeakMeleeSmall,,,18,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,,4,10
W02_DG2_BeetleWeakRanged,sc/editor.sc#zone_16,100,,300,BeetleWeakRangedSmall,,,18,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,,4,10
W02_DG2_BeetleStrongRanged,sc/editor.sc#zone_18,100,,300,BeetleStrongRanged,,,18,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,1,10,10
W02_DG2_BeetleBossEasyA,sc/editor.sc#zone_18,100,,300,BeetleBossEasy,,,20,,,,,,D,,,5,,,,,,100,1,,,,,,,,,,,1,10,10
W02_DG2_BeetleBossEasyB,sc/editor.sc#zone_18,100,,300,BeetleBossEasy,,,20,,,,,,D,,,5,,,,,,100,1,,,,,,,,,,,1,10,10
W02_DG2_OnlyBeetleStrongMelee,sc/editor.sc#zone_2,100,,300,BeetleStrongKnight,,,18,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,1,10,10
W02_DG2_OnlyBeetleStrongMelee_Patrol,sc/editor.sc#zone_2,100,,300,BeetleWeakMeleeSmall,,,18,,,,1000,B,,,,5,,,,,,100,1,,,,,,,,,,,2,10,10
W02_DG2_Ambush_Ground,sc/editor.sc#zone_21,100,2,300,BeetleWeakMeleeSmall,,,18,,,,,,,TRUE,,5,,,,,,100,1,TRUE,,,,,,,200,1,1,4,10,10
W02_DG2_Ambush_Door,sc/editor.sc#zone_21,100,2,300,BeetleWeakMeleeSmall,,,18,,,,,G,,TRUE,3,9,5,,,,,50,3,TRUE,,,,,,,1000,9,9,4,10,10
,,,,,BeetleWeakRangedSmall,,,18,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
W02_DG2_Boss_AmbushA,sc/editor.sc#zone_21,100,5,-1,BeetleWeakMeleeSmall,,,18,,,,,G,,TRUE,3,150,10,,,,,100,3,TRUE,,W02_DG2_BeetleBossEasyA,,,,,1000,1,2,4,10,10
,,,,,BeetleWeakRangedSmall,,,18,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
W02_DG2_Boss_AmbushB,sc/editor.sc#zone_21,100,5,-1,BeetleWeakMeleeSmall,,,18,,,,,G,,TRUE,3,150,10,,,,,100,3,TRUE,,W02_DG2_BeetleBossEasyB,,,,,1000,1,2,4,10,10
,,,,,BeetleWeakRangedSmall,,,18,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
W02_DG2_Boss_Ambush_OnetimeA,sc/editor.sc#zone_21,100,2,300,BeetleWeakMeleeSmall,,,18,,,,,G,,TRUE,3,150,,,,,,100,3,TRUE,,W02_DG2_BeetleBossEasyA,,,,,1000,11,11,4,10,10
,,,,,BeetleWeakRangedSmall,,,18,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
W02_DG2_Boss_Ambush_OnetimeB,sc/editor.sc#zone_21,100,2,300,BeetleWeakMeleeSmall,,,18,,,,,G,,TRUE,3,150,,,,,,100,3,TRUE,,W02_DG2_BeetleBossEasyB,,,,,1000,11,11,4,10,10
,,,,,BeetleWeakRangedSmall,,,18,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
W01_DG3_Charger,sc/editor.sc#zone_18,100,,300,DragonlingStrongWhelp,,,35,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,1,10,10
W01_DG3_JumperLarge,sc/editor.sc#zone_2,100,,300,DragonlingStrongJumperV2,,,35,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,1,10,10
W01_DG3_ChargerBoomer_Patrol,sc/editor.sc#zone_2,50,,300,DragonlingStrongCharger,,,40,,,,1000,B,,,,5,,,,,,100,1,,,,,,,,,,,1,10,10
W01_DG3_Ambush,sc/editor.sc#zone_21,15,,300,DragonlingStrongMelee,,,35,,,,,,,TRUE,,5,,,,,,100,1,TRUE,,,,,,,,,,4,10,10
W01_DG3_Boss_1,sc/editor.sc#zone_18,100,,300,DragonlingBossCharger,,,33,,,,,,D,,,5,,,,,,100,1,,,,,,,,,,,1,10,10
W01_DG3_Boss_3,sc/editor.sc#zone_18,100,,300,DragonlingStrongCharger,,,40,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,1,10,10
W01_DG3_Overlord_Ambush2,sc/editor.sc#zone_21,25,5,300,DragonlingStrongCharger,,,40,,,,,,,TRUE,,30,60,,,,,100,1,TRUE,,W01_DG3_Boss_1,,,,,,,,4,10,10
W01_DG4_Boss_Papa,sc/editor.sc#zone_18,100,,300,DragonlingRaidBoss2,,,16,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,1,10,10
W01_DG4_Boss_Mama,sc/editor.sc#zone_18,100,,300,DragonlingRaidBoss1,,,35,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,1,10,10
W01_DG2_Ambush,sc/editor.sc#zone_16,25,4,300,DragonlingStrongJumper,,,15,,,,,,,TRUE,,5,,,,,,100,1,TRUE,,,,,,,,,,1,4,4
W01_DG2_Ambush_Bridge,sc/editor.sc#zone_16,25,4,300,DragonlingStrongJumper,,,15,,,,,,,TRUE,,5,,,,,,100,1,TRUE,,,,,,,,,,1,4,4
W01_DG2_WeakGroup,sc/editor.sc#zone_16,100,,300,DragonlingWeakMelee,,,15,,,,,,,,,,,,,,,100,1,,,,,,,,,,,,,
W01_DG2_WeakRanged,sc/editor.sc#zone_16,100,,300,DragonlingWeakRanged,,,15,,,,,,,,,,,,,,,100,1,,,,,,,,,,,,,
W01_DG2_Charger,sc/editor.sc#zone_16,100,,300,DragonlingStrongCharger,,,15,,,,,,,,,,,,,,,100,1,,,,,,,,,,,,,
W01_DG2_Charger_Patrol,sc/editor.sc#zone_16,25,,300,DragonlingStrongCharger,,,15,,,,1000,A,,,,,,,,,,100,1,,,,,,,,,,,,,
W01_DG2_Charger_PatrolB,sc/editor.sc#zone_16,25,,300,DragonlingStrongCharger,,,15,,,,1000,B,,,,,,,,,,100,1,,,,,,,,,,,,,
W01_DG2_JumperLarge,sc/editor.sc#zone_16,100,,300,DragonlingStrongMelee,,,15,,,,,,,,,,,,,,,100,1,,,,,,,,,,,,,
W01_DG2_Berserker,sc/editor.sc#zone_16,100,,300,DragonlingBossMedium,,,12,,,,,,D,,,,,,,,,100,1,,,,,,,,,,,4,10,10
W01_DG2_AmbushBoss,sc/editor.sc#zone_16,100,5,25,DragonlingWeakMelee,,,15,,,,,,,TRUE,,30,15,,,,,100,1,TRUE,,W01_DG2_Berserker,,,,,,,,1,4,4
W01_DG2_Ambush_Forest,sc/editor.sc#zone_16,,5,300,DragonlingStrongJumper,,,15,,,,,,,TRUE,,5,,,,,,100,1,TRUE,,,,,,,,,,1,4,4
W02_DG3_BeetleMelee,sc/editor.sc#zone_15,100,,300,BeetleWeakDasher,,,40,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,1,4,10
W02_DG3_BeetleRanged,sc/editor.sc#zone_16,100,,300,BeetleStrongSummoner,,,45,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,1,4,10
W02_DG3_BeetleBossMedium,sc/editor.sc#zone_18,100,,300,BeetleBossMedium,,,37,50,,,,,D,,,5,,,,,,100,1,,,,,,,,,,,1,10,10
W02_DG3_BeetleStrongMeleeHard,sc/editor.sc#zone_2,100,,300,BeetleStrongMelee,,,50,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,1,10,10
W02_DG3_BeetleStrongMelee_Patrol,sc/editor.sc#zone_2,25,,300,BeetleStrongSummoner,,,45,,,,1000,B,,,,5,,,,,,100,1,,,,,,,,,,,1,10,10
W02_DG3_Boss_Ambush,sc/editor.sc#zone_2,100,5,300,BeetleWeakDasher,,,40,,,,,,,TRUE,,30,30,,,,,100,1,,,W02_DG3_BeetleBossMedium,,,,,,,,1,10,10
W02_DG3_Boss_Ambush2,sc/editor.sc#zone_2,100,5,300,BeetleStrongSummoner,,,45,,,,,,,TRUE,,30,60,,,,,100,1,,,W02_DG3_BeetleBossMedium,,,,,,,,1,10,10
W02_DG3_BeetleSupport,sc/editor.sc#zone_16,100,,300,BeetleStrongBlower,,,50,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,1,4,10
DummyZone,sc/editor.sc#zone_1,,999,999,Meat,,,1,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,
W01_OA1_HARD_Weak,sc/editor.sc#zone_6,50,5,30,DragonlingWeakMelee,,,27,,,,250,,,,,5,,,,,,100,1,,,,,,,,500,2,2,,,
,,,,,DragonlingWeakRanged,,,27,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
W01_OA1_HARD_Strong,sc/editor.sc#zone_6,10,10,30,DragonlingStrongSlammer,,,27,,,,250,,,,,5,,,20,,,100,1,,,,,,,,,,,,,
,,,,,DragonlingStrongJumper,,,27,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,DragonlingStrongCharger,,,27,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,DragonlingStrongMelee,,,27,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,DragonlingStrongWhelp,,,27,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,DragonlingStrongJumperV2,,,27,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
W01_OA1_HARD_Boss,sc/editor.sc#zone_6,20,30,60,DragonlingBossEasyOpen,,,27,,,,250,,,,,5,,,50,5,,100,1,,,,,,,,,,,4,10,10
,,,,,DragonlingDungeonBossOpen,,,27,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
,,,,,DragonlingBossMediumOpen,,,27,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
,,,,,DragonlingBossSpiritOpen,,,27,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
,,,,,DragonlingRaidBoss2Open,,,27,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
,,,,,DragonlingRaidBoss1Open,,,27,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
,,,,,DragonlingBossChargerOpen,,,27,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
,,,,,DragonlingDungeonBoss,,,33,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
W01_OA1_HARD_PortalAmbush,sc/editor.sc#zone_21,1000,5,30,DragonlingWeakMelee,,,27,,,,,,,TRUE,2,5,,,,,,50,3,TRUE,,,,,,,500,2,2,4,2,3
,,,,,DragonlingWeakRanged,,,27,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
,,,,,DragonlingStrongSlammer,,,27,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,DragonlingStrongJumper,,,27,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,DragonlingStrongCharger,,,27,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,DragonlingStrongMelee,,,27,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,DragonlingStrongWhelp,,,27,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,DragonlingStrongJumperV2,,,27,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
W01_OA1_HARD_PortalAmbushBoss,sc/editor.sc#zone_21,5,5,30,DragonlingBossEasyOpen,,,27,,,,,,,TRUE,2,5,,,50,5,,10,1,TRUE,,,,,,,,,,4,2,3
,,,,,DragonlingDungeonBossOpen,,,27,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
,,,,,DragonlingBossMediumOpen,,,27,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
,,,,,DragonlingBossSpiritOpen,,,27,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
,,,,,DragonlingRaidBoss2Open,,,27,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
,,,,,DragonlingRaidBoss1Open,,,27,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
,,,,,DragonlingBossChargerOpen,,,27,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
,,,,,DragonlingDungeonBoss,,,33,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
W01_OA1_HARD_Event1,sc/editor.sc#zone_21,10,10,90,DragonlingProtect,,,27,,,,,,,,,5,,,,,,100,1,,,,,2,2,4,,,,4,2,3
W01_OA1_HARD_Event1_ProtectHarrass,sc/editor.sc#zone_0,,999,30,DragonlingStrongWhelp,,,27,,,,,,,,,5,,,20,,,100,1,,,,,,,,,,,,,
,,,,,DragonlingStrongMelee,,,27,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
W01_OA1_HARD_Event2,sc/editor.sc#zone_9,10,10,90,ShootingPlantHard,,,27,,,,,,,,,5,,,20,,,100,1,,,,,2,2,4,,,,4,10,10
W01_OA1_HARD_Event2_Minions,sc/editor.sc#zone_1,,999,5,ShootingPlantMinionHard,,,27,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
W01_OA1_HARD_Event3,sc/editor.sc#zone_21,10,10,90,DragonlingEscort,,,27,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,2,3
W01_OA1_HARD_Event4,sc/editor.sc#zone_21,10,10,90,EasyPortal,,,27,,,,,,,,,5,,,,,,100,1,,,,,2,3,5,,,,4,2,3
W01_OA1_HARD_Event4_Guards,sc/editor.sc#zone_19,,999,999,DragonlingWeakMelee,,,27,,,,,,,,,5,,,,,,,1,,,,,,,,,,,4,10,10
,,,,,DragonlingWeakRanged,,,27,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,,,,DragonlingStrongMelee,,,27,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,DragonlingStrongCharger,,,27,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
W01_OA1_HARD_Event5,sc/editor.sc#zone_0,10,10,30,DragonlingFriendlySoldier,,,27,,,,1000,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
W01_OA2_HARD_Weak,sc/editor.sc#zone_6,50,5,30,DragonlingWeakMelee,,,30,,,,250,,,,,5,,,,,,100,1,,,,,,,,500,2,2,,,
,,,,,DragonlingWeakRanged,,,30,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
W01_OA2_HARD_Strong,sc/editor.sc#zone_6,10,10,30,DragonlingStrongSlammer,,,30,,,,250,,,,,5,,,20,,,100,1,,,,,,,,,,,,,
,,,,,DragonlingStrongJumper,,,30,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,DragonlingStrongCharger,,,30,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,DragonlingStrongMelee,,,30,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,DragonlingStrongWhelp,,,30,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,DragonlingStrongJumperV2,,,30,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
W01_OA2_HARD_Boss,sc/editor.sc#zone_6,20,30,60,DragonlingDungeonBossOpen,,,30,,,,250,,,,,5,,,50,5,,100,1,,,,,,,,,,,4,10,10
,,,,,DragonlingBossMediumOpen,,,30,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
,,,,,DragonlingBossSpiritOpen,,,30,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
,,,,,DragonlingRaidBoss2Open,,,30,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
,,,,,DragonlingRaidBoss1Open,,,30,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
,,,,,DragonlingBossChargerOpen,,,30,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
,,,,,DragonlingDungeonBoss,,,33,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
,,,,,DragonlingBossMedium,,,36,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
W01_OA2_HARD_PortalAmbush,sc/editor.sc#zone_21,1000,5,30,DragonlingWeakMelee,,,30,,,,,,,TRUE,2,5,,,,,,50,3,TRUE,,,,,,,500,2,2,4,2,3
,,,,,DragonlingWeakRanged,,,30,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
,,,,,DragonlingStrongSlammer,,,30,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,DragonlingStrongJumper,,,30,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,DragonlingStrongCharger,,,30,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,DragonlingStrongMelee,,,30,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,DragonlingStrongWhelp,,,30,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
,,,,,DragonlingStrongJumperV2,,,30,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
W01_OA2_HARD_PortalAmbushBoss,sc/editor.sc#zone_21,5,5,30,DragonlingDungeonBossOpen,,,30,,,,,,,TRUE,2,5,,,50,5,,10,1,TRUE,,,,,,,,,,4,2,3
,,,,,DragonlingBossMediumOpen,,,30,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
,,,,,DragonlingBossSpiritOpen,,,30,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
,,,,,DragonlingRaidBoss2Open,,,30,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
,,,,,DragonlingRaidBoss1Open,,,30,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
,,,,,DragonlingBossChargerOpen,,,30,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
,,,,,DragonlingDungeonBoss,,,33,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
,,,,,DragonlingBossMedium,,,36,,,,,,,,,,,,50,5,,,1,,,,,,,,,,,,,
W01_OA2_HARD_Event1,sc/editor.sc#zone_21,10,10,90,DragonlingProtectStationary,,,30,,,,,,,,,5,,,,,,100,1,,,,,2,2,4,,,,4,2,3
W01_OA2_HARD_Event1_ProtectHarrass,sc/editor.sc#zone_0,,999,30,DragonlingStrongWhelp,,,30,,,,,,,,,5,,,20,,,100,1,,,,,,,,,,,,,
,,,,,DragonlingStrongMelee,,,30,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,
W01_OA2_HARD_Event2,sc/editor.sc#zone_9,10,10,90,ShootingPlantHard,,,30,,,,,,,,,5,,,20,,,100,1,,,,,2,2,4,,,,4,10,10
W01_OA2_HARD_Event2_Minions,sc/editor.sc#zone_1,,999,5,ShootingPlantMinionHard,,,30,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
W01_OA2_HARD_Event3,sc/editor.sc#zone_21,10,10,90,DragonlingEscort,,,30,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,2,3
W01_OA2_HARD_Event4,sc/editor.sc#zone_21,10,10,90,EasyPortal,,,30,,,,,,,,,5,,,,,,100,1,,,,,2,3,5,,,,4,2,3
W01_OA2_HARD_Event4_Guards,sc/editor.sc#zone_19,,999,999,DragonlingWeakMelee,,,30,,,,,,,,,5,,,,,,,1,,,,,,,,,,,4,10,10
