"TID","EN","AR","FR","CN","CNT","DE","IT","JP","KR","PL","PT","RU","ES","FI","NL","TR","ID","TH"
"TID_PARAGON_INFO_POPOVER_INFO_5","Elite Tokens come from Elite Projects. Use them in the Elite Shop before the Chapter ends!","تأتي العملات الفائقة من المشروعات الفائقة. استخدمها في المتجر الفائق قبل انتهاء الفصل.","Les jetons d'élite proviennent des projets d'élite. Utilise-les dans le shop d'élite avant la fin du chapitre !","精英代币可通过完成精英项目获得。在当前章节结束前，用它在精英商店中购买各种物品！","完成精英計畫可獲得精英代幣。在目前章節結束前，用它在精英商店中購買各種物品！","Elitemarken stammen aus Eliteprojekten. Verwende sie im Eliteshop, bevor das Kapitel endet!","I gettoni pro si ottengono dai progetti pro. Spendili nel negozio dei pro prima che finisca il capitolo!","エリートトークンはエリートプロジェクトから手に入ります。チャプター終了までにエリートショップで使用しましょう！","엘리트 프로젝트를 통해 얻은 엘리트 토큰입니다. 챕터가 종료되기 전에 엘리트 상점에서 사용하세요!","Elitarne żetony wręczane są w ramach elitarnych projektów. Wykorzystaj je w elitarnym sklepie przed końcem tego rozdziału.","As fichas de elite são concedidas nos projetos de elite. Use-as na loja de elite antes do fim do capítulo.","Элитные жетоны можно получить за выполнение элитных проектов. Используй их для покупки предметов в элитном магазине до конца этой главы!","Obtendrás fichas de élite de los proyectos de élite. Úsalas en la tienda de élite antes de que termine el capítulo.","Ansaitse eliittipoletteja suorittamalla eliittiprojekteja. Käytä niitä eliittikaupassa ennen kuin luku päättyy!","Elitetokens verdien je met eliteprojecten. Gebruik ze in de elitewinkel voordat het hoofdstuk eindigt!","Elit jetonlar elit projelerden kazanılır. Elit jetonlarını bölüm bitmeden önce elit dükkanda kullanabilirsin!","Toko Elite diraih dari Proyek Elite. Gunakan Token Elite di Toko Elite sebelum Babak berakhir!","โทเค็นอีลีทมาจากโปรเจ็กต์อีลีท ใช้โทเค็นในร้านค้าอีลีทก่อนที่จะจบตอน!"
"TID_POPOVER_PROFILE_GEARCHEST_DESC","On the next Level Up you'll earn a Chaos Kit, which contains a Gear upgrade! ","في عملية رفع المستوى التالية ستكسب مجموعة فوضى تحتوي على ترقية عتاد.","Au prochain niveau, tu obtiendras un kit de chaos contenant une amélioration de matos !","下次升级时，你会获得一个混沌补给箱，可以帮你升级一件装备！","下次升級時，你會獲得一個混沌補給箱，可以幫你升級一件裝備！","Beim nächsten Levelaufstieg erhältst du ein Chaoskit, das eine Ausrüstungsverbesserung enthält!","La prossima volta che sali di livello, riceverai un kit del Caos, che conterrà un miglioramento per l'equipaggiamento!","次のレベルに到達すると、カオスアップグレード入りのカオスキットを獲得できます！","다음 레벨 업에서 기어 업그레이드가 포함된 카오스 키트를 얻습니다.","Na następnym poziomie otrzymasz zestaw chaosu zawierający ulepszenie sprzętu.","No próximo nível, você receberá um kit caótico contendo uma melhoria de equipamento.","Со следующим повышением уровня ты получишь набор хаоса с улучшением для снаряжения!","La próxima vez que subas de nivel, recibirás un kit del caos con una mejora de equipo.","Kun saavutat seuraavan tason, ansaitset kaaossetin, josta löytyy varusteen päivitys!","Bij het volgende level omhoog verdien je een chaoskit, die een uitrustingsupgrade bevat!","Sonraki seviyede eşya yükseltmesi içeren bir kaos seti kazanacaksın! ","Saat naik level berikutnya, kamu akan meraih Paket Huru-hara yang berisi peningkatan Perlengkapan!","เมื่อเลเวลอัพครั้งถัดไป คุณจะได้รับเซ็ตเคออสที่มีอัปเกรดเกียร์!"
"TID_PARAGON_SEASON_ENDED_TEXT","Your Elite Hunter levels and Smart Rings have been removed, but anything you got from the Elite Shop is yours to keep.\n\nThe Elite Shop will remain open for a while longer, so you can spend any leftover Elite Tokens. Don’t forget to claim any unclaimed Elite Projects too!","تمت إزالة مستويات الصياد الفائق والخواتم الذكية الخاصة بك، لكن ستحتفظ بأي شيء حصلت عليه من المتجر الفائق.\n\nسيظل المتجر الفائق مفتوحًا لفترة حتى تتمكن من إنفاق أي عملات فائقة متبقية لديك. لا تنس أيضًا المطالبة بأي مشروعات فائقة غير مُطالب بها.","Tes niveaux de chasseur d'élite et tes anneaux connectés ont été réinitialisés, mais tu gardes tout ce que tu as acheté dans le shop d'élite.\n\nLe shop d'élite restera ouvert encore un temps, alors dépense tes jetons d'élite restants. N'oublie pas également de terminer tout projet d'élite restant !","你的精英猎手等级和智能指环现已被清空。不过，通过精英猎手商店获得的内容均可完整保留！\n\n精英商店会继续开放一段时间，你还可以使用剩余的精英代币购物。别忘了把未领取的精英项目奖励也领走！","你的精英獵手等級和智慧戒指現已被清空。不過，透過精英獵手商店獲得的內容均可完整保留！\n\n精英商店會繼續開放一段時間，你還可以使用剩餘的精英代幣購物。別忘了把未領取的精英計畫獎勵也領走！","Deine Elitejägerlevel und Smartringe wurden entfernt. Alles, was du im Eliteshop erworben hast, darfst du behalten.\n\nDer Eliteshop bleibt noch eine Weile geöffnet, damit du alle übrig gebliebenen Elitemarken ausgeben kannst. Vergiss nicht, auch alle nicht beanspruchten Eliteprojekte einzufordern!","I livelli cacciamostri pro e gli anelli smart sono stati rimossi, ma qualsiasi articolo acquistato dal negozio dei pro rimane tuo.\n\nQuesto negozio rimarrà aperto ancora per un po', in modo da permetterti di spendere i gettoni pro che ti sono rimasti. Ah, non dimenticarti di confermare il completamento dei progetti pro che hai terminato!","エリートハンターレベルとスマートリングは削除されますが、エリートショップでの購入品は手元に残ります。\n\nエリートショップは一定期間引き続き利用でき、未使用のエリートトークンを使用することが可能です。残りのエリートプロジェクトの回収もお忘れなく！","엘리트 헌터 레벨과 스마트 링이 제거되었지만, 엘리트 상점에서 구매한 상품은 모두 그대로 유지됩니다.\n\n엘리트 상점은 잠시 동안 열려 있어 남은 엘리트 토큰을 사용할 수 있습니다. 수령하지 않은 엘리트 프로젝트 완료 보상을 받는 것도 잊지 마세요!","Twoje poziomy Elitarnego Łowcy i pierścienie zdolności zostały usunięte, ale zachowujesz wszystko, co udało Ci się zakupić w elitarnym sklepie.\n\nElitarny sklep jest wciąż otwarty, by można wykorzystać pozostałe elitarne żetony. Nie zapomnij również odebrać nagród za wykonane elitarne projekty!","Seus níveis de elite e anéis amplificadores foram removidos, mas tudo que você adquiriu na loja de elite é seu para sempre.\n\nA loja de elite continuará aberta por um curto período para você usar as fichas restantes. Não se esqueça de concluir todos os projetos de elite também!","Твой уровень элитного охотника и умные кольца были удалены, но всё, что было куплено в элитном магазине, остаётся у тебя.\n\nЭлитный магазин будет открыт ещё некоторое время, так что ты сможешь потратить свои элитные жетоны. Если у тебя остались неполученные награды за выполнение элитных проектов, не забудь собрать их!","Se te han retirado los niveles de cazamonstruos de élite y los anillos inteligentes, pero conservarás lo que compraste en la tienda de élite.\n\nLa tienda de élite estará abierta durante un tiempo para que puedas gastar las fichas de élite que te quedan. ¡Y no te olvides de reclamar todos los proyectos de élite!","Eliittimetsästäjätasosi ja älysormuksesi ovat poistuneet, mutta eliittikaupasta saadut tavarat pysyvät sinulla.\n\nEliittikauppa on auki vielä hetken, joten ehdit käyttää säästelemäsi eliittipoletit. Muista myös lunastaa kaikkien suorittamiesi eliittiprojektien palkinnot!","Je elitejagerlevels en e-Ringen zijn verwijderd, maar alles wat je in de elitewinkel hebt gekocht, mag je houden.\n\nDe elitewinkel blijft nog even open, zodat je overgebleven elitetokens kunt uitgeven. Vergeet ook niet om nog niet opgeëiste eliteprojecten te claimen!","Elit avcı seviyelerin ve akıllı yüzüklerin geri alındı ama elit dükkanından satın aldığın her şey sende kalacak.\n\nElit dükkanı bir süre daha açık kalacak, fırsat varken kalan elit jetonlarını harcayabilirsin. Bekleyen elit projeleri de almayı unutma!","Level Pemburu Elite dan Cincin Cerdas telah disingkirkan, tetapi semua yang kamu dapat dari Toko Elite akan tetap jadi milikmu.\n\nToko Elite masih akan buka untuk sementara waktu, jadi masih ada kesempatan untuk menggunakan sisa Token Elite. Jangan lupa juga untuk mengklaim Proyek Elite!","เลเวลอีลีทฮันเตอร์และแหวนอัจฉริยะของคุณได้ถูกนำออกไปแล้ว แต่คุณยังสามารถเก็บทุกอย่างที่คุณได้มาจากร้านค้าอีลีทได้\n\nร้านค้าอีลีทจะยังเปิดต่ออีกสักพักเพื่อให้คุณได้ใช้โทเค็นอีลีทที่เหลือ อย่าลืมรับโปรเจ็กต์อีลีทที่ยังไม่ได้รับด้วยล่ะ!"
"TID_PROTECT_HARVESTER_EVENT_INGAME","Protect the Harvester Handyman","احم صنائعي الحواصد","Protéger le récolteur à tout faire","保护采集器技师","保護採集器技師","Beschütze den Erntehelfer!","Proteggi il tuttofare raccoglitore","ハーベスターハンディマンを守ろう","수집기 수리공 보호하기","Chroń mechanika kombajnu","Proteja o técnico da colheitadeira","Защити слесаря по сборщикам","Protege al mecánico de cosechadoras","Suojele kerääjä-apumiestä.","Bescherm de oogster-klusser.","Hasatçı Tamirciyi koru","Lindungi Teknisi Pemanen","คุ้มครองช่างซ่อมเครื่องเก็บเกี่ยว"
"TID_SKIN_SET_TRIBALDRIP","WARRIORS OF LIGHT","محاربو النور","GUERRIERS DE LUMIÈRE","光明勇士","光明勇士","LICHTKRIEGER","GUERRIERI DELLA LUCE","光の戦士","빛의 전사","WOJOWNICY ŚWIATŁA","GUERREIROS DA LUZ","ВОИНЫ СВЕТА","GUERREROS DE LA LUZ","VALON SOTURIT","KRIJGERS VAN HET LICHT","IŞIĞIN SAVAŞÇILARI","PRAJURIT CAHAYA","นักรบแห่งแสง"
"TID_tribaldrip_body_basic_male_01_c","Plainswalker - Kermes Crimson","عابر السهول - نموذج قرمزي كرمس","Nomade des plaines - Carmin","平原漫步 - 洋红风暴","平原漫步 - 洋紅風暴","Legendär leger – Kermesrot","Viandante delle pianure (chermes)","ランドウォーカー - ケルメスクリムゾン","필드 워커 - 컬미스 크림슨","Wędrowiec – Kermesowy karmazyn","Altiplano (carmim carmesim)","Степной странник — кошенильный красный","Caminante de llanuras (tinte escarlata)","Tasankokulkija – Kermesinpunainen","Steppeloper - kermesrood","Çayır Gezgini - Kermes Kırmızısı","Suku Padang Terbuka - Kermes Merah","เผ่าราบสูง - แดงแมลงเคอร์เมส"
"TID_COMPLETE_DUNGEON_TASK_DESC_CH02_DG_01","Defeat VINE MOTHER","اهزم أم اللبلاب.","Éliminer MÈRE DES RONCES","击倒藤蔓之母","擊殺藤蔓之母","Bewältige RANKENMUTTER!","Sconfiggi la REGINA DEI RAMPICANTI","芋づるマザーを倒す","덩굴 마더 물리치기","Pokonaj MATKĘ WINOROŚLI","Derrote MÃE DAS VINHAS","Победи РАСТЕНИЕ-МАТРИАРХ","Derrota a la enredadera madre","Päihitä KÖYNNÖSEMO","Versla de MOEDERPLANT.","SARMAŞIK ANNE yok et","Kalahkan INDUK MERAMBAT","เอาชนะเถาวัลย์ตัวแม่"
"TID_COMPLETE_DUNGEON_TASK_DESC_CH02_DG_02","Defeat AXIS","اهزم آكسيس.","Éliminer AXIS","击倒中轴","擊殺中軸","Bewältige AXIS!","Sconfiggi AXIS","アクシスを倒す","액시스 물리치기","Pokonaj AKSISA","Derrote ÁXIS","Победи АКСИСА","Derrota al axis","Päihitä AKSELI","Versla AXIS.","AKSİS yok et","Kalahkan AXIS","เอาชนะแอคซิส"
"TID_COMPLETE_DUNGEON_TASK_DESC_CH02_DG_03","Defeat TIDEMASTER","اهزم أمير البحار.","Éliminer MAÎTRE DES VAGUES","击倒唤潮者","擊殺喚潮者","Bewältige GEZEITENMEISTER!","Sconfiggi il SIGNORE DELLE MAREE","タイドマスターを倒す","조류 마스터 물리치기","Pokonaj WŁADCĘ FAL","Derrote BICHANO DO MAR","Победи ВЛАДЫКУ ВОЛН","Derrota al señor de las mareas","Päihitä VUOROVESIMESTARI","Versla de TIJMEESTER.","MEDCEZİR UZMANI yok et","Kalahkan MEONG OMBAK","เอาชนะเหมียวเจ้าสมุทร"
"TID_COMPLETE_DUNGEON_TASK_DESC_CH02_DG_04","Close the MEGA INVASION PORTAL","أغلق بوابة الغزو العملاقة.","Fermer le MÉGA PORTAIL D'INVASION","关闭超大入侵传送门","關閉超大入侵傳送門","Bewältige MEGA-INVASIONSPORTAL!","Chiudi il MEGAPORTALE D'INVASIONE","メガ侵略ポータルを閉じる","메가 침략 포털 닫기","Zamknij MEGA PORTAL INWAZJI","Feche MEGAPORTAL DE INVASÃO","Закрой МЕГАПОРТАЛ ВТОРЖЕНИЯ","Cierra el megaportal de invasión","Sulje MEGAHYÖKKÄYSPORTAALI","Sluit het MEGA-INVASIEPORTAAL.","MEGA İSTİLA PORTALINI kapat","Tutup PORTAL INVASI MEGA","ปิดประตูมิติรุกรานเมก้า"
"TID_COMPLETE_DUNGEON_TASK_DESC_CH02_DG_05","Complete WAVE MACHINE","أكمل ماكينة الأمواج.","Terminer MACHINE À VAGUES","通关攻势如潮","通關攻勢如潮","Schließe WELLENMASCHINE ab!","Supera \qONDATE A NASTRO\q","ウェーブマシンをクリアする","웨이브 머신 완료하기","Ukończ GENERATOR FAL","Conclua MÁQUINA DE MAREMOTO","Пройди «ГЕНЕРАТОР ВОЛН»","Completa Máquina de olas","Suorita AALTOKONE","Voltooi GOLVENMACHINE.","DALGA MAKİNESİNİ tamamla","Selesaikan MESIN GELOMBANG","เล่นเครื่องปล่อยระลอกรุกรานให้เสร็จ"
"TID_COMPLETE_DUNGEON_TASK_DESC_CH02_DG_06","Defeat MEGA TOXIC SPITTER","اهزم البصّاق السام العملاق.","Éliminer MÉGA CRACHEUR TOXIQUE","击倒超大剧毒喷射怪","擊殺超大劇毒噴射怪","Bewältige MEGA-GIFTSPUCKER!","Sconfiggi il MEGASPUTACCHIATORE TOSSICO","メガ毒スピッターを倒す","메가 독성 스피터 물리치기","Pokonaj MEGA TRUJĄCEGO PRYCHACZA","Derrote MEGACUSPIDOR TÓXICO","Победи ЯДОВИТОГО МЕГАПЛЕВУНА","Derrota al megaescupidor tóxico","Päihitä MEGAMYRKKYSYLKIJÄ","Versla de GIFTIGE MEGA-SPUWER.","MEGA ZEHİRLİ ATICI yok et","Kalahkan SPITTA BERACUN MEGA","เอาชนะจอมพ่นพิษเมก้า"
"TID_DISCONNECTED_BATTLE_END_INFO_TITLE","Home Sweet Home","ما أحلى المنزل!","Secours express","回家休整","回家休整","Trautes Heim","Casa dolce casa","おかえりなさい！","집으로 돌아갈 시간이에요!","Nie ma jak w domu","Lar, doce lar","Ты дома!","Hogar dulce hogar","Oma koti kullan kallis","Oost west, thuis best","Evim Güzel Evim","Rumahku Istanaku","บ้านแสนอบอุ่น"
"TID_DISCONNECTED_BATTLE_END_INFO_REWARD_2","Monsters love to prey on idle hunters, so we pulled you back to safety. You're welcome!\n\nYou earned:\n\n<AMOUNT> XP\n","تحب الوحوش افتراس الصيادين الخاملين؛ لذا فسحبناك إلى بر الأمان. لا داعي للشكر!\n\nربحت:\n\n<AMOUNT> من الخبرة\n","Les monstres raffolent des chasseurs inactifs, alors on t'a remis en sécurité. De rien !\n\nTu as gagné : \n\n<AMOUNT> EXP\n","怪物最喜欢偷袭傻愣着的猎手，所以我们把你拖回了安全地区，不用谢！\n\n你获得了：\n\n<AMOUNT>经验值\n","怪物最喜歡偷襲發呆的獵手，所以我們把你拖回了安全地區，不客氣！\n\n你獲得了：\n\n<AMOUNT>經驗值\n","Monster machen gerne Jagd auf untätige Jäger, also haben wir dich in Sicherheit gebracht. Gern geschehen!\n\nDu verdienst:\n\n<AMOUNT> XP\n","I mostri adorano assalire i cacciamostri inattivi, quindi ti abbiamo portato in un luogo sicuro! Non serve ringraziarci.\n\nHai guadagnato:\n\n<AMOUNT> XP\n","仕事をサボったハンターは簡単にモンスターの餌食になります。でも自宅に戻ったのでもう安心です！\n\n獲得したもの：\n\n<AMOUNT>XP\n","한눈파는 헌터는 몬스터의 표적이 되기 십상이죠. 헌터님을 보호하기 위해 안전한 곳으로 옮겨드렸습니다. 감사 인사는 넣어두세요!\n\n획득한 경험치:\n\n<AMOUNT> XP\n","Potwory obierając sobie za cel bezbronnych graczy, więc zabraliśmy Cię w bezpieczne miejsce. Nie ma za co!\n\nZdobywasz:\n\n<AMOUNT> PD\n","Os monstros adoram atacar caçadores que estão de bobeira, então nós te levamos para um lugar seguro. De nada!\n\nVocê ganhou:\n\n<AMOUNT> de XP.\n","Монстры обожают нападать на бездействующих охотников, так что мы вернули тебя домой. Не благодари!\n\nПолучено:\n\n<AMOUNT> очк. опыта\n","A los monstruos les encanta atacar a los cazamonstruos inactivos, así que te hemos llevado a un lugar seguro, ¡de nada!\n\nObtuviste lo siguiente:\n\n<AMOUNT> de EXP.\n","Joutilaat metsästäjät ovat monstereiden herkkua, joten kuljetimme sinut turvallisempaan paikkaan. Ole hyvä!\n\nAnsaitsit:\n\n<AMOUNT> XP:tä\n","Monsters zijn dol op inactieve jagers, dus we hebben je teruggeleid naar een veilige plek. Geen dank!\n\nJe verdiende:\n\n<AMOUNT> XP\n","Canavarlar boş duran avcılara saldırmaya bayılır, güvenliğin için seni geri getirdik. Rica ederiz!\n\nKazandığın:\n\n<AMOUNT> DP\n","Monster suka menyerang Pemburu yang sedang diam, jadi kami harus mengevakuasimu. Gak perlu terima kasih!\n\nKamu meraih:\n\n<AMOUNT> XP\n","มอนสเตอร์ชอบล่าฮันเตอร์ที่ขี้เกียจ เราจึงดึงคุณกลับมาเพื่อความปลอดภัย ด้วยความยินดี!\n\nคุณได้รับ:\n\nค่าประสบการณ์ <AMOUNT> หน่วย\n"
"TID_COMPLETE_DUNGEON_TASK_DESC_CH02_DG_07","Defeat DEADEYE","تغلب على القناص المحترف.","Éliminer TORVŒIL","击倒狙击手","擊殺狙擊手","Bewältige SCHARFSCHÜTZE!","Sconfiggi l'OCCHIO DI LINCE","デッドアイを倒す","명사수 물리치기","Pokonaj STRZELCA WYBOROWEGO","Derrote GATUNO","Победи СТРЕЛКА","Derrota al parche","Päihitä KUOLONSILMÄ","Versla DOODSOOG.","KESKİN NİŞANCI yok et","Kalahkan MEONG JELI","เอาชนะเหมียวยิงแม่น"
"TID_COMPLETE_DUNGEON_TASK_DESC_CH02_DG_08","Defeat THE PRINCE","اهزم الأمير.","Éliminer LE PRINCE","击倒王子","擊殺王子","Bewältige DER PRINZ!","Sconfiggi il PRINCIPE","プリンスを倒す","프린스 물리치기","Pokonaj KSIĘCIA","Derrote PRÍNCIPE","Победи ПРИНЦА","Derrota al principito","Päihitä PRINSSI","Versla DE PRINSES.","PRENS yok et","Kalahkan PANGERAN","เอาชนะเจ้าชาย"
"TID_COMPLETE_DUNGEON_TASK_DESC_CH02_DG_09","Defeat SPIN SLAYER","اهزم سفاح الدوران.","Éliminer FAUCHEUR TOURNEUR","击倒旋风兽","擊殺旋風獸","Bewältige VERDREHTER VERNICHTER!","Sconfiggi il SICARIO ROTANTE","スピンスレイヤーを倒す","스핀 슬레이어 물리치기","Pokonaj WIRUJĄCEGO RZEŹNIKA","Derrote ALGOZ GIRATÓRIO","Победи ВИХРЕРЕЗА","Derrota al segador giratorio","Päihitä KIERREVIILTÄJÄ","Versla de SPINSMOOR.","DÖNER BİÇER yok et","Kalahkan SLAYA BERPUTAR","เอาชนะพลสังหารหมุนติ้ว"
"TID_COMPLETE_DUNGEON_TASK_DESC_CH02_DG_10","Defeat GRAND LIBRARIAN","اهزم أمين المكتبة الكبير.","Éliminer BIBLIOTHÉCAIRE SUPÉRIEUR","击倒大图书馆管理员","擊殺大圖書館管理員","Bewältige GROSSER BIBLIOTHEKAR!","Sconfiggi il GRAN BIBLIOTECARIO","魔導司書を倒す","그랜드 사서 물리치기","Pokonaj WIELKIEGO BIBLIOTEKARZA","Derrote GRANDE BIBLIOTECÁRIO","Победи ГЛАВНОГО БИБЛИОТЕКАРЯ","Derrota al gran bibliotecario","Päihitä SUURKIRJASTONHOITAJA","Versla de GROTE BIBLIOTHECARIS.","BÜYÜK KÜTÜPHANECİ yok et","Kalahkan PUSTAKAWAN AGUNG","เอาชนะบรรณารักษ์ห้องสมุดโอ่โถง"
"TID_COMPLETE_DUNGEON_TASK_DESC_CH02_DG_12","Defeat SNOWBALL","اهزم كرة الثلج العملاقة.","Éliminer BOULE DE NEIGE","击倒雪球","擊殺雪球","Bewältige SCHNEEBALL!","Sconfiggi la PALLA DI NEVE","スノーボールを倒す","스노볼 물리치기","Pokonaj KULĘ ŚNIEGU","Derrote BOLA DE NEVE","Победи ГИГАНТСКИЙ СНЕЖОК","Derrota a la bola de nieve","Päihitä JÄTTILUMIPALLO","Versla SNEEUWBAL.","KARTOPU tok et","Kalahkan MEONG SALJU","เอาชนะเหมียวบอลหิมะ"
"TID_COMPLETE_DUNGEON_TASK_DESC_WITH_TIME_CH02_DG_01","Defeat VINE MOTHER in <TIME> or less","اهزم أم اللبلاب خلال <TIME> أو أقل.","Éliminer MÈRE DES RONCES en moins de <TIME>","在<TIME>或更短时间内击倒藤蔓之母","在<TIME>以內擊殺藤蔓之母","Bewältige RANKENMUTTER in höchstens <TIME>!","Sconfiggi la REGINA DEI RAMPICANTI in <TIME> o meno","芋づるマザーを<TIME>以内に倒す","<TIME> 이내에 덩굴 마더 물리치기","Pokonaj MATKĘ WINOROŚLI w <TIME> lub szybciej","Derrote MÃE DAS VINHAS em até <TIME>","Победи РАСТЕНИЕ-МАТРИАРХ за <TIME> или быстрее","Derrota a la enredadera madre en <TIME> o menos","Päihitä KÖYNNÖSEMO ajassa <TIME> tai nopeammin","Versla de MOEDERPLANT in <TIME> of minder.","<TIME> veya daha kısa sürede SARMAŞIK ANNE yok et","Kalahkan INDUK MERAMBAT dalam <TIME> atau kurang","เอาชนะเถาวัลย์ตัวแม่ในระยะเวลา <TIME> หรือน้อยกว่า"
"TID_COMPLETE_DUNGEON_TASK_DESC_WITH_TIME_CH02_DG_02","Defeat AXIS in <TIME> or less","اهزم آكسيس خلال <TIME> أو اقل.","Éliminer AXIS en moins de <TIME>","在<TIME>或更短时间内击倒中轴","在<TIME>以內擊殺中軸","Bewältige AXIS in höchstens <TIME>!","Sconfiggi AXIS in <TIME> o meno","アクシスを<TIME>以内に倒す","<TIME> 이내에 액시스 물리치기","Pokonaj AKSISA w <TIME> lub szybciej","Derrote ÁXIS em até <TIME>","Победи АКСИСА за <TIME> или быстрее","Derrota al axis en <TIME> o menos","Päihitä AKSELI ajassa <TIME> tai nopeammin","Versla AXIS in <TIME> of minder.","<TIME> veya daha kısa sürede AKSİS yok et","Kalahkan AXIS dalam <TIME> atau kurang","เอาชนะแอคซิสในระยะเวลา <TIME> หรือน้อยกว่า"
"TID_COMPLETE_DUNGEON_TASK_DESC_WITH_TIME_CH02_DG_03","Defeat TIDEMASTER in <TIME> or less","اهزم أمير البحار خلال <TIME> أو أقل.","Éliminer MAÎTRE DES VAGUES en moins de <TIME>","在<TIME>或更短时间内击倒唤潮者","在<TIME>以內擊殺喚潮者","Bewältige GEZEITENMEISTER in höchstens <TIME>!","Sconfiggi il SIGNORE DELLE MAREE in <TIME> o meno","タイドマスターを<TIME>以内に倒す","<TIME> 이내에 조류 마스터 물리치기","Pokonaj WŁADCĘ FAL w <TIME> lub szybciej","Derrote BICHANO DO MAR em até <TIME>","Победи ВЛАДЫКУ ВОЛН за <TIME> или быстрее","Derrota al señor de las mareas en <TIME> o menos","Päihitä VUOROVESIMESTARI ajassa <TIME> tai nopeammin","Versla de TIJMEESTER in <TIME> of minder.","<TIME> veya daha kısa sürede MEDCEZİR UZMANI yok et","Kalahkan MEONG OMBAK dalam <TIME> atau kurang","เอาชนะเหมียวเจ้าสมุทรในระยะเวลา <TIME> หรือน้อยกว่า"
"TID_COMPLETE_DUNGEON_TASK_DESC_WITH_TIME_CH02_DG_04","Close the MEGA INVASION PORTAL in <TIME> or less","أغلق بوابة الغزو العملاقة خلال <TIME> أو أقل.","Fermer le MÉGA PORTAIL D'INVASION en moins de <TIME>","在<TIME>或更短时间内关闭超大入侵传送门","在<TIME>以內關閉超大入侵傳送門","Bewältige MEGA-INVASIONSPORTAL in höchstens <TIME>!","Chiudi il MEGAPORTALE D'INVASIONE in <TIME> o meno","メガ侵略ポータルを<TIME>以内に閉じる","<TIME> 이내에 메가 침략 포털 닫기","Zamknij MEGA PORTAL INWAZJI w <TIME> lub szybciej","Feche MEGAPORTAL DE INVASÃO em até <TIME>","Закрой МЕГАПОРТАЛ ВТОРЖЕНИЯ за <TIME> или быстрее","Cierra el megaportal de invasión en <TIME> o menos","Sulje MEGAHYÖKKÄYSPORTAALI ajassa <TIME> tai nopeammin","Sluit het MEGA-INVASIEPORTAAL in <TIME> of minder.","<TIME> veya daha kısa sürede MEGA İSTİLA PORTALINI kapat","Tutup PORTAL INVASI MEGA dalam <TIME> atau kurang","ปิดประตูมิติรุกรานเมก้าในระยะเวลา <TIME> หรือน้อยกว่า"
"TID_COMPLETE_DUNGEON_TASK_DESC_WITH_TIME_CH02_DG_05","Complete WAVE MACHINE in <TIME> or less","أكمل ماكينة الأمواج خلال <TIME> أو أقل.","Terminer MACHINE À VAGUES en moins de <TIME>","在<TIME>或更短时间内通关攻势如潮","在<TIME>以內通關攻勢如潮","Schließe WELLENMASCHINE in höchstens <TIME> ab!","Supera \qONDATE A NASTRO\q in <TIME> o meno","ウェーブマシンを<TIME>以内にクリアする","<TIME> 이내에 웨이브 머신 클리어하기","Ukończ GENERATOR FAL w <TIME> lub szybciej","Conclua MÁQUINA DE MAREMOTO em até <TIME>","Пройди «ГЕНЕРАТОР ВОЛН» за <TIME> или быстрее","Completa Máquina de olas en <TIME> o menos","Suorita AALTOKONE ajassa <TIME> tai nopeammin","Voltooi GOLVENMACHINE in <TIME> of minder.","<TIME> veya daha kısa sürede DALGA MAKİNESİNİ tamamla","Selesaikan MESIN GELOMBANG dalam <TIME> atau kurang","เล่นเครื่องปล่อยระลอกรุกรานให้เสร็จในระยะเวลา <TIME> หรือน้อยกว่า"
"TID_COMPLETE_DUNGEON_TASK_DESC_WITH_TIME_CH02_DG_06","Defeat MEGA TOXIC SPITTER in <TIME> or less","اهزم البصّاق السام العملاق خلال <TIME> أو أقل.","Éliminer MÉGA CRACHEUR TOXIQUE en moins de <TIME>","在<TIME>或更短时间内击倒超大剧毒喷射怪","在<TIME>以內擊殺超大劇毒噴射怪","Bewältige MEGA-GIFTSPUCKER in höchstens <TIME>!","Sconfiggi il MEGASPUTACCHIATORE TOSSICO in <TIME> o meno","メガ毒スピッターを<TIME>以内に倒す","<TIME> 이내에 메가 독성 스피터 물리치기","Pokonaj MEGA TRUJĄCEGO PRYCHACZA w <TIME> lub szybciej","Derrote MEGACUSPIDOR TÓXICO em até <TIME>","Победи ЯДОВИТОГО МЕГАПЛЕВУНА за <TIME> или быстрее","Derrota al megaescupidor tóxico en <TIME> o menos","Päihitä MEGAMYRKKYSYLKIJÄ ajassa <TIME> tai nopeammin","Versla de GIFTIGE MEGA-SPUWER in <TIME> of minder.","<TIME> veya daha kısa sürede MEGA ZEHİRLİ ATICI yok et","Kalahkan SPITTA BERACUN MEGA dalam <TIME> atau kurang","เอาชนะจอมพ่นพิษเมก้าในระยะเวลา <TIME> หรือน้อยกว่า"
